prompt,prompt_id,prefix,IO,connector,S1,action1,S2,action2,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
店で直樹と大樹が本棚を見ていた。修は面白そうな骨を選び、,578,1,3,5,6,8,14,15,22,愛,さ,愛,愛,さ,さ,eval,店,0.1104,0.001,0.0002
剛と里奈は学校の図書館にいた。陸は借りていたスナックを読み終え、,967,1,1,2,3,5,15,16,27,亮,達,亮,亮,達,達,eval,二人,0.0258,0.0003,0.0
智也と千尋が病院で席に着いた。雄大は熱いネックレスを持ってきて、,397,1,1,3,4,6,15,17,26,陽,達,陽,陽,達,達,ablation,千,0.1206,0.0001,0.0002
七海と直樹は山の図書館にいた。雄大は借りていたキスを読み終え、,1001,1,1,3,4,6,16,18,28,陽,拓,陽,陽,拓,拓,ablation,七,0.104,0.0,0.0002
オフィスで直樹と里奈が話していた。加奈はネックレスを取り出すと、,45,1,5,7,8,10,14,16,24,和,涼,和,和,涼,涼,ablation,直,0.1196,0.0001,0.0005
涼太と杏奈は庭の図書館にいた。真央は借りていたコンピューターを読み終え、,948,1,1,3,4,6,16,18,30,健,美,健,健,美,美,ablation,涼,0.1147,0.0002,0.0
優菜と智也が家で席に着いた。遥は熱い飲み物を持ってきて、,414,1,1,3,4,6,14,15,23,一,剛,一,一,剛,剛,ablation,二人,0.1797,0.0,0.0037
山で陸と遥が話していた。加奈はスナックを取り出すと、,71,1,3,4,5,6,10,12,20,翼,優,翼,翼,優,優,ablation,山,0.0957,0.0005,0.0001
学校の隅で剛と大樹が二人きりだった。加奈は衝撃的な指輪を知り、こっそりと,528,1,5,6,7,9,15,17,33,陽,愛,陽,陽,愛,愛,eval,二人,0.0623,0.0004,0.0003
山で美羽と智也が買い物をしていた。真央は素敵なバスケットボールを購入し、,283,1,3,5,6,8,13,15,25,陽,直,陽,陽,直,直,circuit,美,0.21,0.0014,0.0002
オフィスで剛と陸が帰り支度をしていた。光は車の骨を見つけ、,906,1,5,6,7,8,15,16,22,葵,翼,葵,葵,翼,翼,ablation,その,0.0354,0.0001,0.0
智也と遥が庭で席に着いた。加奈は熱い飲み物を持ってきて、,374,1,1,3,4,5,13,15,23,健,葵,健,健,葵,葵,ablation,二人,0.2812,0.0,0.0001
オフィスで美羽と誠が買い物をしていた。大樹は素敵な飲み物を購入し、,262,1,5,7,8,9,14,16,25,健,亮,健,健,亮,亮,ablation,誠,0.1787,0.0,0.0002
オフィスで美羽と杏奈が話していた。雄大は骨を取り出すと、,42,1,5,7,8,10,14,16,22,健,拓,健,健,拓,拓,eval,美,0.1406,0.0,0.0002
店で美優と加奈が乾杯しようとしていた。雄大は冷えたキスを開け、,1009,1,3,5,6,8,15,17,25,翔,健,翔,翔,健,健,ablation,美,0.0933,0.0005,0.0
美月と陸は庭にいた。智也は落ちていた骨を拾い、,82,1,1,3,4,5,10,12,20,拓,愛,拓,拓,愛,愛,eval,美,0.1484,0.0004,0.0001
家で和也と里奈が帰り支度をしていた。智也は車のスナックを見つけ、,919,1,3,5,6,8,15,17,25,大,結,大,大,結,結,ablation,和,0.0334,0.0003,0.0026
病院で美羽と蓮が乾杯しようとしていた。杏奈は冷えた飲み物を開け、,1046,1,4,6,7,8,15,17,25,陽,彩,陽,陽,彩,彩,ablation,美,0.1475,0.0001,0.0002
駅で里奈と真央が歩いていたとき、修は珍しい骨を見つけ、すぐに,202,1,4,6,7,9,14,15,22,達,剛,達,達,剛,剛,ablation,真,0.0854,0.0,0.0001
杏奈と修が家で席に着いた。加奈は熱いネックレスを持ってきて、,413,1,1,3,4,5,13,15,24,一,陸,一,一,陸,陸,circuit,杏,0.1147,0.0,0.0045
優菜と美羽は店で休憩していた。美穂は携帯の画面にある指輪を表示し、,792,1,1,3,4,6,4,7,29,美,未来,美,美,未来,未来,ablation,優,0.6562,0.0,0.0225
剛と優菜は学校で修理をしていた。裕太は近くにあったスナックを掴み、,679,1,1,2,3,5,12,14,25,愛,さ,愛,愛,さ,さ,circuit,優,0.0204,0.0012,0.0006
学校で彩と陸が本棚を見ていた。真央は面白そうな指輪を選び、,600,1,3,4,5,6,12,14,22,翼,直,翼,翼,直,直,ablation,彩,0.25,0.0003,0.0
楓と隼人がレストランで席に着いた。裕太は熱いコンピューターを持ってきて、,380,1,1,3,4,6,13,15,25,哲,葵,哲,哲,葵,葵,ablation,�,0.0796,0.0001,0.0
里奈と裕太は店で修理をしていた。誠は近くにあった飲み物を掴み、,654,1,1,3,4,6,13,14,24,亮,さ,亮,亮,さ,さ,eval,裕,0.1885,0.0015,0.0
