prompt,prompt_id,prefix,IO,and,S1,S1+1,action1,S2,action2,to,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
"After Laura and Kyle went to the office, Charles gave a computer to",364,1,2,3,4,5,6,10,11,14,15, James, Elizabeth, James, James, Elizabeth, Elizabeth,ablation, Laura,0.2676,0.0003,0.002
"While Laura and Rachel were working at the school, Jacob gave a drink to",542,1,2,3,4,5,6,11,12,15,16, Jason, Eric, Jason, Jason, Eric, Eric,ablation, a,0.168,0.0005,0.0002
"While Kyle and Anthony were working at the hospital, Jeremy gave a drink to",550,1,2,3,4,5,6,11,12,15,16, David, Andrew, David, David, Andrew, Andrew,ablation, a,0.3555,0.0002,0.0013
Friends Jeremy and Jonathan found a snack at the school. Lisa gave it to,927,1,2,3,4,5,6,12,13,15,16, Daniel, Ryan, Daniel, Daniel, Ryan, Ryan,ablation, them,0.668,0.0002,0.0002
"When Aaron and Brian got a kiss at the hospital, Jacob decided to give it to",417,1,2,3,4,5,6,12,13,17,18, Christopher, William, Christopher, Christopher, William, William,ablation, his,0.1729,0.0006,0.0002
"Then, Amy and Elizabeth went to the office. Charles gave a necklace to",45,1,3,4,5,6,7,11,12,15,16, Andrew, Brandon, Andrew, Andrew, Brandon, Brandon,ablation, Amy,0.5625,0.0,0.0001
"After the lunch, Sean and Michelle went to the school. Jose gave a snack to",671,1,5,6,7,8,9,13,14,17,18, David, Robert, David, David, Robert, Robert,ablation, Sean,0.2754,0.0001,0.0004
"While Jamie and Crystal were commuting to the store, Scott gave a drink to",582,1,2,3,4,5,6,11,12,15,16, Brian, Amy, Brian, Brian, Amy, Amy,ablation, a,0.248,0.0012,0.0008
"Then, Kelly and Jason had a long argument, and afterwards Alexander said to",259,1,3,4,5,6,7,13,14,15,16, Matthew, James, Matthew, Matthew, James, James,ablation, Kelly,0.2197,0.0013,0.0015
"Then, Mary and Tyler had a lot of fun at the hospital. Lisa gave a drink to",102,1,3,4,5,6,7,15,16,19,20, James, Adam, James, James, Adam, Adam,ablation, Mary,0.3184,0.0002,0.0004
"Then, Crystal and Steven were working at the house. Michelle decided to give a snack to",183,1,3,4,5,6,7,12,13,18,19, Brandon, Sarah, Brandon, Brandon, Sarah, Sarah,eval, the,0.2471,0.0002,0.0001
"After the lunch, Emily and Richard went to the house. Alexander gave a bone to",690,1,5,6,7,8,9,13,14,17,18, David, Jason, David, David, Jason, Jason,ablation, Emily,0.5195,0.0001,0.0005
"While Lisa and Stephen were working at the school, Alexander gave a basketball to",539,1,2,3,4,5,6,11,12,15,16, Jessica, Steven, Jessica, Jessica, Steven, Steven,ablation, Lisa,0.2139,0.0039,0.0007
"While Sean and Stephen were commuting to the office, Scott gave a computer to",620,1,2,3,4,5,6,11,12,15,16, Christopher, Charles, Christopher, Christopher, Charles, Charles,ablation, a,0.1543,0.0008,0.0004
"After the lunch, Aaron and Steven went to the hospital. Kelly gave a basketball to",675,1,5,6,7,8,9,13,14,17,18, Brian, Kevin, Brian, Brian, Kevin, Kevin,ablation, Aaron,0.543,0.0005,0.0005
"While Jacob and Anthony were commuting to the station, Tyler gave a drink to",638,1,2,3,4,5,6,11,12,15,16, Sarah, Brian, Sarah, Sarah, Brian, Brian,ablation, a,0.3848,0.0003,0.001
"When Jacob and Rachel got a basketball at the house, Jose decided to give the basketball to",499,1,2,3,4,5,6,12,13,18,19, James, Andrew, James, James, Andrew, Andrew,ablation, Jacob,0.166,0.0009,0.0021
"When Emily and Rachel got a necklace at the garden, Aaron decided to give it to",397,1,2,3,4,5,6,12,13,17,18, James, Brian, James, James, Brian, Brian,ablation, Emily,0.2676,0.0004,0.0009
"While Steven and Ryan were working at the school, Jamie gave a basketball to",539,1,2,3,4,5,6,11,12,15,16, Christopher, Matthew, Christopher, Christopher, Matthew, Matthew,ablation, Steven,0.416,0.0004,0.0005
"Then, Mark and Eric were working at the station. Kelly decided to give a necklace to",189,1,3,4,5,6,7,12,13,18,19, David, Ryan, David, David, Ryan, Ryan,ablation, Mark,0.3223,0.0002,0.0007
"Afterwards, Emily and Laura went to the restaurant. Jose gave a drink to",726,1,4,5,6,7,8,12,13,16,17, Daniel, Andrew, Daniel, Daniel, Andrew, Andrew,ablation, Emily,0.6562,0.0,0.0004
Friends Mary and Stephen found a kiss at the station. Alexander gave it to,953,1,2,3,4,5,6,12,13,15,16, Robert, Jeremy, Robert, Robert, Jeremy, Jeremy,ablation, them,0.2676,0.0001,0.0007
The office Charles and Jeremy went to had a drink. Mary gave it to,878,1,3,4,5,6,7,12,13,15,16, Jonathan, Amy, Jonathan, Jonathan, Amy, Amy,ablation, them,0.5859,0.0004,0.0002
"Afterwards, Kevin and Eric went to the house. Crystal gave a bone to",754,1,4,5,6,7,8,12,13,16,17, Jessica, Daniel, Jessica, Jessica, Daniel, Daniel,ablation, Kevin,0.5859,0.0001,0.0003
"While Anthony and Brian were working at the restaurant, Jose gave a snack to",535,1,2,3,4,5,6,11,12,15,16, Jessica, Ryan, Jessica, Jessica, Ryan, Ryan,ablation, the,0.1494,0.0002,0.0002
"Then, Mark and Elizabeth went to the restaurant. Patrick gave a basketball to",19,1,3,4,5,6,7,11,12,15,16, James, Jonathan, James, James, Jonathan, Jonathan,ablation, Mark,0.4688,0.0006,0.0026
"Then, Charles and Richard went to the garden. Stephen gave a kiss to",9,1,3,4,5,6,7,11,12,15,16, Joseph, Andrew, Joseph, Joseph, Andrew, Andrew,ablation, his,0.2139,0.0004,0.0012
"Then, Sean and Kevin had a long argument. Afterwards Jose said to",786,1,3,4,5,6,7,12,13,14,15, Christopher, Andrew, Christopher, Christopher, Andrew, Andrew,ablation, Sean,0.3398,0.0008,0.0001
"While Aaron and Emily were commuting to the school, Sean gave a snack to",607,1,2,3,4,5,6,11,12,15,16, Jennifer, Amy, Jennifer, Jennifer, Amy, Amy,ablation, Emily,0.2539,0.0036,0.0005
"Then, Crystal and Anthony had a lot of fun at the station. Paul gave a computer to",124,1,3,4,5,6,7,15,16,19,20, Jason, William, Jason, Jason, William, William,ablation, Crystal,0.3711,0.0002,0.0005
"While Stephen and Brian were working at the garden, Kelly gave a ring to",520,1,2,3,4,5,6,11,12,15,16, James, William, James, James, William, William,ablation, Brian,0.1504,0.0009,0.0043
"Then, Paul and Sarah were working at the house. Tyler decided to give a ring to",176,1,3,4,5,6,7,12,13,18,19, Robert, Andrew, Robert, Robert, Andrew, Andrew,eval, Sarah,0.248,0.0004,0.0004
"After Richard and Thomas went to the school, Tyler gave a kiss to",345,1,2,3,4,5,6,10,11,14,15, Daniel, Sarah, Daniel, Daniel, Sarah, Sarah,ablation, Richard,0.1328,0.0055,0.0018
