prompt,prompt_id,prefix,IO,and,S1,S1+1,action1,S2,action2,to,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
"Cuando Lisa y Manuel consiguieron un hueso en a la casa, Cristina decidió dárselo a",434,1,3,4,5,6,7,17,18,24,25, Kevin, Travis, Kevin, Kevin, Travis, Travis,ablation, su,0.3887,0.0,0.0004
"Mientras Erin y Cody iban a la estación, Nicole le dio un hueso a",634,1,3,4,5,6,7,13,14,19,20, Alan, Elena, Alan, Alan, Elena, Elena,circuit, su,0.1357,0.0,0.0001
"Después de que Kristen y Juan fueran al hospital, Lucas le dio un balón a",355,1,5,6,7,8,9,13,14,19,20, Paula, Gloria, Paula, Paula, Gloria, Gloria,ablation, su,0.1855,0.0001,0.0007
Los amigos Michelle y Jeffrey encontraron un balón en al jardín. Lisa se lo dio a,907,1,3,4,5,6,7,17,18,21,22, Kelly, Paula, Kelly, Kelly, Paula, Paula,ablation, Michelle,0.2598,0.0003,0.0001
"Entonces, Michelle y Samantha estaban trabajando en a la tienda. Nicole decidió darle un beso a",129,1,4,5,6,7,8,17,18,26,27, Dustin, Andrea, Dustin, Dustin, Andrea, Andrea,ablation, Michelle,0.2539,0.0006,0.0001
"Mientras Victor y Alejandro trabajaban en a la casa, Eva le dio un collar a",565,1,3,4,5,6,7,13,14,18,19, Laura, José, Laura, Laura, José, José,ablation, su,0.1797,0.0018,0.0031
"Después de que Max y Erica fueran al restaurante, Hector le dio un balón a",339,1,5,6,7,8,9,14,15,20,21, Kristen, Megan, Kristen, Kristen, Megan, Megan,circuit, Max,0.2695,0.0005,0.0001
a la oficina al que fueron Lisa y Samantha tenía un refresco. Joel se lo dio a,878,1,8,9,10,11,12,16,17,20,21, Kelly, Miguel, Kelly, Kelly, Miguel, Miguel,ablation, Lisa,0.4961,0.0,0.0001
"Mientras Justin y Kristen trabajaban en a la estación, David le dio un refresco a",574,1,3,4,5,6,7,14,15,20,21, Oscar, Victor, Oscar, Oscar, Victor, Victor,eval, un,0.084,0.0002,0.0002
"Después del almuerzo, Shannon y Isabel fueron a la casa. David le dio un hueso a",690,1,8,9,10,11,12,16,17,22,23, Laura, Kelly, Laura, Laura, Kelly, Kelly,ablation, Shannon,0.2217,0.0004,0.0002
"Entonces, Cristina y Felix tuvieron una larga discusión. Después David le dijo a",789,1,4,5,6,7,8,18,19,21,22, Cody, Roberto, Cody, Cody, Roberto, Roberto,ablation, Cristina,0.2715,0.0003,0.0
