prompt,prompt_id,prefix,IO,connector,S1,action1,S2,action2,to,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
놀이터에서 민지와 상철가 놀고 있었습니다. 하린가 예쁜 지갑을 발견하고는,676,1,5,8,9,11,19,21,29,30, 다, �, 다, 다, �, �,ablation, �,0.0806,0.0,0.0028
도서관에 상철과 예린가 방문했습니다. 현우는 기념품으로 산 편지를 조심스럽게,924,1,5,7,8,10,14,16,31,32, 서, 영, 서, 서, 영, 영,ablation, 보,0.1689,0.0001,0.0004
식당에서 민지와 상철가 놀고 있었습니다. 수아가 예쁜 선물을 발견하고는,642,1,4,7,8,10,18,20,27,28, 서, �, 서, 서, �, �,ablation, �,0.207,0.0,0.0017
영화관에 재민과 우진가 방문했습니다. 정우는 기념품으로 산 공을 조심스럽게,961,1,5,7,8,10,14,16,29,30, 서, 영, 서, 서, 영, 영,circuit, 보,0.0898,0.0002,0.0004
학교에 서현과 재민가 앉아있었습니다. 가은는 자신이 아끼는 선물을 챙겨서,502,1,3,5,6,8,15,17,29,30, 주, 지, 주, 주, 지, 지,ablation, 서,0.0718,0.0081,0.0086
"어느 화창한 날, 해변에서 지민과 현준가 산책을 했습니다. 진우가 바닥에서 선물을 주워서",392,1,13,15,16,18,27,29,37,38, 지, 서, 지, 지, 서, 서,eval, 지,0.2139,0.0014,0.2139
영화관에서 지우와 유진가 쇼핑을 했습니다. 우진가 새로 산 장난감을 포장해서,468,1,5,7,8,10,20,22,32,33, 예, 하, 예, 예, 하, 하,ablation, 지,0.5703,0.001,0.0006
조용한 식당에서 성민과 유진가 식사를 마쳤습니다. 가은가 가방에서 지갑을 꺼내더니,746,1,8,10,11,13,21,23,35,36, 주, 서, 주, 주, 서, 서,ablation,",",0.2324,0.0048,0.0123
"어느 화창한 날, 도서관에서 수진과 유진가 산책을 했습니다. 현우가 바닥에서 열쇠를 주워서",329,1,14,16,17,19,28,30,39,40, 지, 다, 지, 지, 다, 다,ablation, 수,0.064,0.003,0.0098
조용한 백화점에서 수진과 성민가 식사를 마쳤습니다. 하린가 가방에서 우산을 꺼내더니,787,1,9,11,12,14,22,24,36,37, 도, 지, 도, 도, 지, 지,circuit,",",0.2188,0.0066,0.0026
