prompt,prompt_id,prefix,IO,and,S1,S1+1,action1,S2,action2,to,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
"After Elizabeth and James went to the office, James gave a computer to",364,1,2,3,4,5,6,10,11,14,15, James, Elizabeth, James, James, Elizabeth, Elizabeth,ablation, Elizabeth,0.2891,0.2891,0.0009
"While Eric and Jason were working at the school, Jason gave a drink to",542,1,2,3,4,5,6,11,12,15,16, Jason, Eric, Jason, Jason, Eric, Eric,ablation, Eric,0.4453,0.4453,0.0036
"While Andrew and David were working at the hospital, David gave a drink to",550,1,2,3,4,5,6,11,12,15,16, David, Andrew, David, David, Andrew, Andrew,ablation, a,0.3223,0.1836,0.0002
Friends Ryan and Daniel found a snack at the school. Daniel gave it to,927,1,2,3,4,5,6,12,13,15,16, Daniel, Ryan, Daniel, Daniel, Ryan, Ryan,ablation, Ryan,0.6719,0.6719,0.0006
"When William and Christopher got a kiss at the hospital, Christopher decided to give it to",417,1,2,3,4,5,6,12,13,17,18, Christopher, William, Christopher, Christopher, William, William,ablation, William,0.4512,0.4512,0.0022
"Then, Brandon and Andrew went to the office. Andrew gave a necklace to",45,1,3,4,5,6,7,11,12,15,16, Andrew, Brandon, Andrew, Andrew, Brandon, Brandon,ablation, the,0.2354,0.0864,0.0006
"After the lunch, Robert and David went to the school. David gave a snack to",671,1,5,6,7,8,9,13,14,17,18, David, Robert, David, David, Robert, Robert,ablation, Robert,0.5625,0.5625,0.0005
"While Amy and Brian were commuting to the store, Brian gave a drink to",582,1,2,3,4,5,6,11,12,15,16, Brian, Amy, Brian, Brian, Amy, Amy,ablation, Amy,0.4688,0.4688,0.0003
"Then, James and Matthew had a long argument, and afterwards Matthew said to",259,1,3,4,5,6,7,13,14,15,16, Matthew, James, Matthew, Matthew, James, James,ablation, James,0.6562,0.6562,0.0002
"Then, Adam and James had a lot of fun at the hospital. James gave a drink to",102,1,3,4,5,6,7,15,16,19,20, James, Adam, James, James, Adam, Adam,ablation, Adam,0.3379,0.3379,0.0002
"Then, Sarah and Brandon were working at the house. Brandon decided to give a snack to",183,1,3,4,5,6,7,12,13,18,19, Brandon, Sarah, Brandon, Brandon, Sarah, Sarah,eval, the,0.2695,0.2246,0.001
"After the lunch, Jason and David went to the house. David gave a bone to",690,1,5,6,7,8,9,13,14,17,18, David, Jason, David, David, Jason, Jason,ablation, Jason,0.4062,0.4062,0.0006
"While Steven and Jessica were working at the school, Jessica gave a basketball to",539,1,2,3,4,5,6,11,12,15,16, Jessica, Steven, Jessica, Jessica, Steven, Steven,ablation, Steven,0.6797,0.6797,0.002
"While Charles and Christopher were commuting to the office, Christopher gave a computer to",620,1,2,3,4,5,6,11,12,15,16, Christopher, Charles, Christopher, Christopher, Charles, Charles,ablation, Charles,0.7695,0.7695,0.0
