prompt,prompt_id,prefix,IO,connector,S1,action1,S2,action2,to,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
愛と結衣が家で席に着いた。結衣は熱いコンピューターを持ってきて、,412,1,1,2,3,5,13,15,24,25,結,愛,結,結,愛,愛,ablation,愛,0.3398,0.3398,0.0055
愛と拓也は学校の図書館にいた。拓也は借りていたキスを読み終え、,961,1,1,2,3,5,15,17,26,27,拓,愛,拓,拓,愛,愛,ablation,愛,0.3105,0.3105,0.0016
家で彩と和也が仕事をしていた。和也は新しいコンピューターを作成し、その内容を,484,1,3,4,5,7,11,13,25,26,和,彩,和,和,彩,彩,ablation,彩,0.4473,0.4473,0.001
美優と結衣は山で修理をしていた。結衣は近くにあったキスを掴み、,713,1,1,3,4,6,13,15,24,25,結,美,結,結,美,美,ablation,美,0.3848,0.3848,0.0049
病院で亮と陽菜が仕事をしていた。陽菜は新しい指輪を作成し、その内容を,464,1,4,5,6,8,12,14,24,25,陽,亮,陽,陽,亮,亮,eval,亮,0.3066,0.3066,0.0153
翼と大輔が山で席に着いた。大輔は熱いバスケットボールを持ってきて、,427,1,1,2,3,5,13,15,23,24,大,翼,大,大,翼,翼,ablation,翼,0.3809,0.3809,0.0037
駅で翼と拓也が乾杯しようとしていた。拓也は冷えたコンピューターを開け、,1068,1,4,5,6,8,15,17,26,27,拓,翼,拓,拓,翼,翼,ablation,翼,0.1436,0.1436,0.0005
亮と翔太が庭で席に着いた。翔太は熱い指輪を持ってきて、,368,1,1,2,3,5,13,15,22,23,翔,亮,翔,翔,亮,亮,ablation,亮,0.5273,0.5273,0.0052
庭の隅で未来と健太が二人きりだった。健太は衝撃的なコンピューターを知り、こっそりと,516,1,5,6,7,9,15,17,34,35,健,未来,健,健,未来,未来,ablation,未来,0.0835,0.0835,0.0255
未来と美咲が店で席に着いた。美咲は熱いコンピューターを持ってきて、,364,1,1,2,3,6,14,17,26,27,美,未来,美,美,未来,未来,ablation,未来,0.0894,0.0894,0.0146
山で美優と陽菜が話していた。陽菜は骨を取り出すと、,66,1,3,5,6,8,12,14,19,20,陽,美,陽,陽,美,美,ablation,美,0.2266,0.2266,0.0082
レストランで和也と愛が仕事をしていた。愛は新しいキスを作成し、その内容を,449,1,3,5,6,7,11,12,22,23,愛,和,愛,愛,和,和,ablation,和,0.3418,0.3418,0.0033
店で愛と翔太が乾杯しようとしていた。翔太は冷えた指輪を開け、,1008,1,3,4,5,7,14,16,23,24,翔,愛,翔,翔,愛,愛,eval,店,0.2246,0.0366,0.0021
店で優花と涼太が乾杯しようとしていた。涼太は冷えたネックレスを開け、,1013,1,3,5,6,8,15,17,25,26,涼,優,涼,涼,優,優,ablation,店,0.1099,0.0757,0.0045
山で翼と哲也が帰り支度をしていた。哲也は車の指輪を見つけ、,928,1,3,4,5,7,14,16,22,23,哲,翼,哲,哲,翼,翼,ablation,山,0.2598,0.0579,0.0042
病院で葵と陽菜が乾杯しようとしていた。陽菜は冷えた骨を開け、,1042,1,4,5,6,8,15,17,23,24,陽,葵,陽,陽,葵,葵,ablation,葵,0.2812,0.2812,0.0035
オフィスで翼と哲也が準備をしていた。哲也は余分なネックレスを持っていたので、,765,1,5,6,7,9,14,16,26,27,哲,翼,哲,哲,翼,翼,circuit,翼,0.1982,0.1982,0.0344
店で結衣と健太が帰り支度をしていた。健太は車のコンピューターを見つけ、,868,1,3,5,6,8,15,17,25,26,健,結,健,健,結,結,circuit,店,0.1201,0.0684,0.0112
家で涼太と愛が帰り支度をしていた。愛は車のネックレスを見つけ、,917,1,3,5,6,7,14,15,22,23,愛,涼,愛,愛,涼,涼,circuit,家,0.0466,0.0302,0.0098
家で哲也と愛が乾杯しようとしていた。愛は冷えた骨を開け、,1058,1,3,5,6,7,14,15,21,22,愛,哲,愛,愛,哲,哲,ablation,哲,0.0544,0.0544,0.0057
美優と哲也は駅で休憩していた。哲也は携帯の画面にあるスナックを表示し、,855,1,1,3,4,6,14,16,29,30,哲,美,哲,哲,美,美,ablation,美,0.4688,0.4688,0.0019
庭で大輔と翔太が歩いていたとき、翔太は珍しいスナックを見つけ、すぐに,159,1,3,5,6,8,13,15,23,24,翔,大,翔,翔,大,大,ablation,庭,0.2695,0.0991,0.0017
翼と大輔は山の図書館にいた。大輔は借りていた飲み物を読み終え、,1006,1,1,2,3,5,15,17,26,27,大,翼,大,大,翼,翼,circuit,翼,0.4707,0.4707,0.0081
店で結衣と大輔が帰り支度をしていた。大輔は車のネックレスを見つけ、,869,1,3,5,6,8,15,17,24,25,大,結,大,大,結,結,ablation,結,0.2637,0.2637,0.0432
和也と翼はレストランにいた。翼は落ちていた骨を拾い、,90,1,1,3,4,5,10,11,18,19,翼,和,翼,翼,和,和,ablation,和,0.3438,0.3438,0.001
優菜と剛は店で休憩していた。剛は携帯の画面にあるキスを表示し、,793,1,1,3,4,5,12,13,25,26,剛,優,剛,剛,優,優,eval,優,0.6523,0.6523,0.0009
健太と大輔は家で修理をしていた。大輔は近くにあったコンピューターを掴み、,700,1,1,3,4,6,13,15,26,27,大,健,大,大,健,健,ablation,健,0.4766,0.4766,0.006
家で七海と美優が準備をしていた。美優は余分なスナックを持っていたので、,775,1,3,5,6,8,13,15,25,26,美,七,美,美,七,七,ablation,七,0.1895,0.1895,0.0449
達也と大輔が庭で席に着いた。大輔は熱いコンピューターを持ってきて、,372,1,1,3,4,6,14,16,25,26,大,達,大,大,達,達,ablation,達,0.2246,0.2246,0.0127
学校で拓也と翔太が歩いていたとき、翔太は珍しいコンピューターを見つけ、すぐに,172,1,3,5,6,8,13,15,24,25,翔,拓,翔,翔,拓,拓,ablation,拓,0.2158,0.2158,0.0095
哲也と陽菜は病院にいた。陽菜は落ちていたコンピューターを拾い、,108,1,1,3,4,6,12,14,24,25,陽,哲,陽,陽,哲,哲,ablation,哲,0.6758,0.6758,0.0011
店で健太と翔太が練習していた。翔太はキスをキャッチすると、力強く,289,1,3,5,6,8,13,15,24,25,翔,健,翔,翔,健,健,ablation,キ,0.0586,0.0315,0.0048
庭で哲也と陽菜が練習していた。陽菜は飲み物をキャッチすると、力強く,302,1,3,5,6,8,13,15,24,25,陽,哲,陽,陽,哲,哲,ablation,投,0.0684,0.0,0.0008
駅で剛と哲也が帰り支度をしていた。哲也は車のスナックを見つけ、,927,1,4,5,6,8,15,17,24,25,哲,剛,哲,哲,剛,剛,eval,車,0.0273,0.0212,0.0045
家で剛と和也が話していた。和也は指輪を取り出すと、,48,1,3,4,5,7,11,13,19,20,和,剛,和,和,剛,剛,ablation,「,0.0344,0.0082,0.001
達也と美優は山にいた。美優は落ちていたコンピューターを拾い、,140,1,1,3,4,6,11,13,23,24,美,達,美,美,達,達,eval,達,0.2891,0.2891,0.0056
家で剛と直樹が買い物をしていた。直樹は素敵な骨を購入し、,266,1,3,4,5,7,12,14,21,22,直,剛,直,直,剛,剛,ablation,家,0.1846,0.0601,0.0063
蓮と美優がオフィスで席に着いた。美優は熱い飲み物を持ってきて、,406,1,1,2,3,5,15,17,24,25,美,蓮,美,美,蓮,蓮,ablation,蓮,0.2383,0.2383,0.003
病院で優菜と愛が準備をしていた。愛は余分なスナックを持っていたので、,759,1,4,6,7,8,13,14,24,25,愛,優,愛,愛,優,優,ablation,優,0.3398,0.3398,0.0179
剛と達也は庭にいた。達也は落ちていた飲み物を拾い、,86,1,1,2,3,5,10,12,20,21,達,剛,達,達,剛,剛,ablation,庭,0.0172,0.0162,0.0092
翼と翔太が山で席に着いた。翔太は熱いネックレスを持ってきて、,429,1,1,2,3,5,13,15,23,24,翔,翼,翔,翔,翼,翼,ablation,翼,0.5938,0.5938,0.0018
レストランで一輝と亮が乾杯しようとしていた。亮は冷えたキスを開け、,1025,1,3,5,6,7,14,15,22,23,亮,一,亮,亮,一,一,circuit,一,0.2324,0.2324,0.0001
庭で愛と拓也が買い物をしていた。拓也は素敵な飲み物を購入し、,230,1,3,4,5,7,12,14,22,23,拓,愛,拓,拓,愛,愛,ablation,庭,0.4766,0.0344,0.0008
優花と美月は駅にいた。美月は落ちていたスナックを拾い、,135,1,1,3,4,6,12,14,23,24,美,優,美,美,優,優,ablation,優,0.6094,0.6094,0.0077
陽菜と大輔がオフィスで席に着いた。大輔は熱い飲み物を持ってきて、,406,1,1,3,4,6,16,18,25,26,大,陽,大,大,陽,陽,ablation,陽,0.1836,0.1836,0.0049
学校で結衣と健太が話していた。健太は指輪を取り出すと、,24,1,3,5,6,8,12,14,20,21,健,結,健,健,結,結,ablation,結,0.3887,0.3887,0.0056
翼と達也は山にいた。達也は落ちていたキスを拾い、,137,1,1,2,3,5,10,12,20,21,達,翼,達,達,翼,翼,ablation,翼,0.6797,0.6797,0.0001
山で陽菜と翔太が準備をしていた。翔太は余分な指輪を持っていたので、,784,1,3,5,6,8,13,15,24,25,翔,陽,翔,翔,陽,陽,circuit,山,0.3809,0.0201,0.0101
学校の隅で一輝と大輔が二人きりだった。大輔は衝撃的な指輪を知り、こっそりと,528,1,5,7,8,10,16,18,33,34,大,一,大,大,一,一,ablation,一,0.1196,0.1196,0.0684
庭で蓮と優菜が帰り支度をしていた。優菜は車のスナックを見つけ、,879,1,3,4,5,7,14,16,23,24,優,蓮,優,優,蓮,蓮,ablation,蓮,0.1221,0.1221,0.0031
陽菜と大輔は学校で休憩していた。大輔は携帯の画面にあるスナックを表示し、,823,1,1,3,4,6,13,15,28,29,大,陽,大,大,陽,陽,ablation,陽,0.3027,0.3027,0.0182
店で哲也と結衣が歩いていたとき、結衣は珍しいバスケットボールを見つけ、すぐに,147,1,3,5,6,8,13,15,23,24,結,哲,結,結,哲,哲,ablation,店,0.1338,0.0299,0.0264
未来と愛は病院で休憩していた。愛は携帯の画面にあるスナックを表示し、,831,1,1,2,3,4,12,13,26,27,愛,未来,愛,愛,未来,未来,ablation,未来,0.1455,0.1455,0.021
家で優菜と和也が話していた。和也はキスを取り出すと、,49,1,3,5,6,8,12,14,20,21,和,優,和,和,優,優,circuit,優,0.5391,0.5391,0.0053
山で達也と健太が本棚を見ていた。健太は面白そうなキスを選び、,641,1,3,5,6,8,14,16,23,24,健,達,健,健,達,達,ablation,山,0.4961,0.0918,0.0005
駅でさくらと亮が仕事をしていた。亮は新しい骨を作成し、その内容を,490,1,4,7,8,9,13,14,23,24,亮,さ,亮,亮,さ,さ,ablation,�,0.2246,0.1455,0.005
駅で翼と美優が乾杯しようとしていた。美優は冷えたコンピューターを開け、,1068,1,4,5,6,8,15,17,26,27,美,翼,美,美,翼,翼,ablation,翼,0.1797,0.1797,0.0178
店で七海と達也が本棚を見ていた。達也は面白そうなスナックを選び、,583,1,3,5,6,8,14,16,24,25,達,七,達,達,七,七,ablation,七,0.3164,0.3164,0.0011
山で拓也と翔太が買い物をしていた。翔太は素敵な飲み物を購入し、,286,1,3,5,6,8,13,15,23,24,翔,拓,翔,翔,拓,拓,ablation,拓,0.2969,0.2969,0.004
家で陽菜と大輔が本棚を見ていた。大輔は面白そうなネックレスを選び、,629,1,3,5,6,8,14,16,24,25,大,陽,大,大,陽,陽,ablation,家,0.4844,0.033,0.0061
楓と翔太は山で修理をしていた。翔太は近くにあったコンピューターを掴み、,716,1,1,3,4,6,13,15,26,27,翔,�,翔,翔,�,�,ablation,�,0.2559,0.0,0.0082
愛と陽菜は病院の図書館にいた。陽菜は借りていたコンピューターを読み終え、,972,1,1,2,3,5,16,18,29,30,陽,愛,陽,陽,愛,愛,ablation,愛,0.377,0.377,0.0057
病院で葵と美優が話していた。美優は指輪を取り出すと、,32,1,4,5,6,8,12,14,20,21,美,葵,美,美,葵,葵,ablation,葵,0.2871,0.2871,0.0162
直人と拓也は病院にいた。拓也は落ちていた骨を拾い、,106,1,1,3,3,5,11,13,20,21,拓,直,拓,拓,直,直,eval,直,0.5117,0.5117,0.0011
さくらと愛は店の図書館にいた。愛は借りていたキスを読み終え、,937,1,1,4,5,6,16,17,26,27,愛,さ,愛,愛,さ,さ,ablation,さ,0.6797,0.6797,0.0016
家で涼太と七海が練習していた。七海はコンピューターをキャッチすると、力強く,340,1,3,5,6,8,13,15,26,27,七,涼,七,七,涼,涼,ablation,、,0.0393,0.0,0.0003
オフィスで楓と美月が準備をしていた。美月は余分な指輪を持っていたので、,760,1,5,7,8,10,15,17,26,27,美,�,美,美,�,�,ablation,�,0.1196,0.0,0.1123
優菜と葵が山で席に着いた。葵は熱いバスケットボールを持ってきて、,427,1,1,3,4,5,13,14,22,23,葵,優,葵,葵,優,優,eval,優,0.3613,0.3613,0.0007
庭で葵と達也が練習していた。達也はバスケットボールをキャッチすると、力強く,299,1,3,4,5,7,12,14,24,25,達,葵,達,達,葵,葵,ablation,投,0.1787,0.0005,0.0001
優花と美月は駅にいた。美月は落ちていた骨を拾い、,130,1,1,3,4,6,12,14,21,22,美,優,美,美,優,優,eval,優,0.625,0.625,0.0101
山で健太と陽菜が買い物をしていた。陽菜は素敵なバスケットボールを購入し、,283,1,3,5,6,8,13,15,24,25,陽,健,陽,陽,健,健,ablation,健,0.7344,0.7344,0.0015
健太と翔太がレストランで席に着いた。翔太は熱いコンピューターを持ってきて、,380,1,1,3,4,6,14,16,25,26,翔,健,翔,翔,健,健,eval,健,0.707,0.707,0.0004
レストランで亮と大輔が買い物をしていた。大輔は素敵なコンピューターを購入し、,236,1,3,4,5,7,12,14,24,25,大,亮,大,大,亮,亮,ablation,亮,0.3574,0.3574,0.0178
学校で優菜と涼太が本棚を見ていた。涼太は面白そうな骨を選び、,602,1,3,5,6,8,14,16,22,23,涼,優,涼,涼,優,優,ablation,優,0.5078,0.5078,0.0053
