prompt,prompt_id,prefix,IO,and,S1,S1+1,action1,S2,action2,to,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
"Cuando Travis y Kevin consiguieron un hueso en a la casa, Kevin decidió dárselo a",434,1,3,4,5,6,7,17,18,24,25, Kevin, Travis, Kevin, Kevin, Travis, Travis,ablation, su,0.4121,0.1943,0.0023
"Mientras Elena y Alan iban a la estación, Alan le dio un hueso a",634,1,3,4,5,6,7,13,14,19,20, Alan, Elena, Alan, Alan, Elena, Elena,circuit, un,0.1992,0.0781,0.0003
"Después de que Gloria y Paula fueran al hospital, Paula le dio un balón a",355,1,5,6,7,8,9,13,14,19,20, Paula, Gloria, Paula, Paula, Gloria, Gloria,ablation, su,0.1904,0.168,0.0037
Los amigos Paula y Kelly encontraron un balón en al jardín. Kelly se lo dio a,907,1,3,4,5,6,7,17,18,21,22, Kelly, Paula, Kelly, Kelly, Paula, Paula,ablation, Paula,0.6953,0.6953,0.0001
"Entonces, Andrea y Dustin estaban trabajando en a la tienda. Dustin decidió darle un beso a",129,1,4,5,6,7,8,17,18,26,27, Dustin, Andrea, Dustin, Dustin, Andrea, Andrea,ablation, Andrea,0.7617,0.7617,0.0002
"Mientras José y Laura trabajaban en a la casa, Laura le dio un collar a",565,1,3,4,5,6,7,13,14,18,19, Laura, José, Laura, Laura, José, José,ablation, José,0.6211,0.6211,0.0027
"Después de que Megan y Kristen fueran al restaurante, Kristen le dio un balón a",339,1,5,6,7,8,9,14,15,20,21, Kristen, Megan, Kristen, Kristen, Megan, Megan,circuit, Megan,0.7305,0.7305,0.0001
a la oficina al que fueron Miguel y Kelly tenía un refresco. Kelly se lo dio a,878,1,8,9,10,11,12,16,17,20,21, Kelly, Miguel, Kelly, Kelly, Miguel, Miguel,ablation, Miguel,0.668,0.668,0.0001
"Mientras Victor y Oscar trabajaban en a la estación, Oscar le dio un refresco a",574,1,3,4,5,6,7,14,15,20,21, Oscar, Victor, Oscar, Oscar, Victor, Victor,eval, Victor,0.6953,0.6953,0.0021
"Después del almuerzo, Kelly y Laura fueron a la casa. Laura le dio un hueso a",690,1,8,9,10,11,12,16,17,22,23, Laura, Kelly, Laura, Laura, Kelly, Kelly,ablation, Kelly,0.5703,0.5703,0.0003
"Entonces, Roberto y Cody tuvieron una larga discusión. Después Cody le dijo a",789,1,4,5,6,7,8,18,19,21,22, Cody, Roberto, Cody, Cody, Roberto, Roberto,ablation, Roberto,0.5273,0.5273,0.0001
"Mientras Juan y Bruno trabajaban en a la estación, Bruno le dio un ordenador a",572,1,3,4,5,6,7,14,15,20,21, Bruno, Juan, Bruno, Bruno, Juan, Juan,ablation, Juan,0.7109,0.7109,0.0029
"Entonces, Jaime y Elena se divirtieron mucho en al hospital. Elena le dio un balón a",99,1,4,5,6,7,8,16,17,22,23, Elena, Jaime, Elena, Elena, Jaime, Jaime,ablation, Jaime,0.498,0.498,0.0012
"Entonces, Daniel y Gloria se divirtieron mucho en a la tienda. Gloria le dio un anillo a",64,1,4,5,6,7,8,18,19,24,25, Gloria, Daniel, Gloria, Gloria, Daniel, Daniel,ablation, Daniel,0.7305,0.7305,0.0006
"Entonces, Antonio y Kenneth tuvieron una larga discusión. Después Kenneth le dijo a",786,1,4,5,6,7,8,18,19,21,22, Kenneth, Antonio, Kenneth, Kenneth, Antonio, Antonio,ablation, Antonio,0.7773,0.7773,0.0003
"Entonces, Samuel y Rosa se divirtieron mucho en al restaurante. Rosa le dio un refresco a",86,1,4,5,6,7,8,17,18,23,24, Rosa, Samuel, Rosa, Rosa, Samuel, Samuel,ablation, Samuel,0.8125,0.8125,0.0007
"Entonces, Kevin y Carmen estaban trabajando en al restaurante. Carmen decidió darle un ordenador a",148,1,4,5,6,7,8,16,17,25,26, Carmen, Kevin, Carmen, Carmen, Kevin, Kevin,ablation, Kevin,0.5273,0.5273,0.0006
"Mientras Daniel y Jeffrey iban a la tienda, Jeffrey le dio un ordenador a",580,1,3,4,5,6,7,13,14,19,20, Jeffrey, Daniel, Jeffrey, Jeffrey, Daniel, Daniel,ablation, Daniel,0.7539,0.7539,0.0021
"Cuando Victor y Cody consiguieron un anillo en a la tienda, Cody decidió dar el objeto a",448,1,3,4,5,6,7,18,19,25,26, Cody, Victor, Cody, Cody, Victor, Victor,ablation, su,0.4863,0.1484,0.0014
"Entonces, Bryan y Eric fueron a la escuela. Eric le dio un balón a",27,1,4,5,6,7,8,13,14,19,20, Eric, Bryan, Eric, Eric, Bryan, Bryan,eval, Bryan,0.6797,0.6797,0.001
"Cuando Jaime y Kenneth consiguieron un hueso en a la escuela, Kenneth decidió dárselo a",410,1,3,4,5,6,7,18,19,25,26, Kenneth, Jaime, Kenneth, Kenneth, Jaime, Jaime,ablation, Jaime,0.4863,0.4863,0.0002
"Más tarde, Lola y Ana fueron al jardín. Ana le dio un refresco a",718,1,5,6,7,8,9,14,15,20,21, Ana, Lola, Ana, Ana, Lola, Lola,circuit, Lola,0.7305,0.7305,0.0012
"Mientras Roberto y Jorge trabajaban en a la tienda, Jorge le dio un refresco a",518,1,3,4,5,6,7,14,15,20,21, Jorge, Roberto, Jorge, Jorge, Roberto, Roberto,ablation, Roberto,0.4238,0.4238,0.0047
"Mientras Martin y Ana trabajaban en a la tienda, Ana le dio un bocadillo a",519,1,3,4,5,6,7,14,15,22,23, Ana, Martin, Ana, Ana, Martin, Martin,ablation, Martin,0.543,0.543,0.0011
a la casa al que fueron Kevin y Laura tenía un ordenador. Laura se lo dio a,884,1,7,8,9,10,11,15,16,19,20, Laura, Kevin, Laura, Laura, Kevin, Kevin,ablation, Kevin,0.4121,0.4121,0.0055
"Entonces, Daniel y Oscar tuvieron una larga discusión, y después Oscar le dijo a",264,1,4,5,6,7,8,19,20,22,23, Oscar, Daniel, Oscar, Oscar, Daniel, Daniel,eval, Daniel,0.5977,0.5977,0.0009
"Entonces, Paula y Sergio tuvieron una larga discusión. Después Sergio le dijo a",806,1,4,5,6,7,8,18,19,21,22, Sergio, Paula, Sergio, Sergio, Paula, Paula,ablation, Paula,0.6055,0.6055,0.001
"Mientras Jonathan y Bradley trabajaban en al restaurante, Bradley le dio un hueso a",530,1,3,4,5,6,7,13,14,19,20, Bradley, Jonathan, Bradley, Bradley, Jonathan, Jonathan,ablation, su,0.3125,0.0371,0.002
"Después del almuerzo, Kenneth y Rafael fueron a la escuela. Rafael le dio un refresco a",670,1,8,9,10,11,12,17,18,23,24, Rafael, Kenneth, Rafael, Rafael, Kenneth, Kenneth,ablation, Kenneth,0.8164,0.8164,0.0006
"Entonces, Jonathan y Clara tuvieron una larga discusión, y después Clara le dijo a",291,1,4,5,6,7,8,19,20,22,23, Clara, Jonathan, Clara, Clara, Jonathan, Jonathan,ablation, su,0.4043,0.3574,0.0048
"Cuando Erin y Jeffrey consiguieron un balón en a la casa, Jeffrey decidió dar el objeto a",499,1,3,4,5,6,7,17,18,24,25, Jeffrey, Erin, Jeffrey, Jeffrey, Erin, Erin,eval, su,0.3086,0.1875,0.0016
"Después del almuerzo, Gabriel y Kelly fueron al restaurante. Kelly le dio un balón a",659,1,8,9,10,11,12,16,17,22,23, Kelly, Gabriel, Kelly, Kelly, Gabriel, Gabriel,ablation, Gabriel,0.6602,0.6602,0.0004
Los amigos Bruno y Jeffrey encontraron un bocadillo en a la tienda. Jeffrey se lo dio a,903,1,3,4,5,6,7,19,20,23,24, Jeffrey, Bruno, Jeffrey, Jeffrey, Bruno, Bruno,circuit, Bruno,0.5391,0.5391,0.0003
"Entonces, Diana y Rosa fueron a la estación. Rosa le dio un beso a",57,1,4,5,6,7,8,13,14,19,20, Rosa, Diana, Rosa, Rosa, Diana, Diana,ablation, Diana,0.4219,0.4219,0.0022
"Cuando Elena y Gabriel consiguieron un refresco en a la estación, Gabriel decidió dárselo a",446,1,3,4,5,6,7,18,19,25,26, Gabriel, Elena, Gabriel, Gabriel, Elena, Elena,ablation, su,0.2754,0.1885,0.0007
al jardín al que fueron Kelly y Alan tenía un ordenador. Alan se lo dio a,844,1,8,9,10,11,12,16,17,20,21, Alan, Kelly, Alan, Alan, Kelly, Kelly,ablation, Kelly,0.5352,0.5352,0.0011
"Entonces, Felix y María tuvieron una larga discusión. Después María le dijo a",792,1,4,5,6,7,8,18,19,21,22, María, Felix, María, María, Felix, Felix,ablation, Felix,0.3203,0.3203,0.008
"Después del almuerzo, Jaime y Dustin fueron a la estación. Dustin le dio un balón a",699,1,8,9,10,11,12,17,18,23,24, Dustin, Jaime, Dustin, Dustin, Jaime, Jaime,ablation, Jaime,0.6797,0.6797,0.0003
"Cuando Gabriel y Rosa consiguieron un bocadillo en a la estación, Rosa decidió dar el objeto a",511,1,3,4,5,6,7,20,21,27,28, Rosa, Gabriel, Rosa, Rosa, Gabriel, Gabriel,ablation, Gabriel,0.1963,0.1963,0.0008
"Después de que Samuel y Elena fueran al restaurante, Elena le dio un beso a",337,1,5,6,7,8,9,14,15,20,21, Elena, Samuel, Elena, Elena, Samuel, Samuel,ablation, Samuel,0.7266,0.7266,0.0003
"Mientras Jesse y Kevin trabajaban en a la estación, Kevin le dio un bocadillo a",575,1,3,4,5,6,7,14,15,22,23, Kevin, Jesse, Kevin, Kevin, Jesse, Jesse,ablation, Jesse,0.6484,0.6484,0.0041
"Entonces, Rafael y Paula se divirtieron mucho en al restaurante. Paula le dio un ordenador a",84,1,4,5,6,7,8,17,18,23,24, Paula, Rafael, Paula, Paula, Rafael, Rafael,circuit, Rafael,0.6406,0.6406,0.0025
"Cuando Juan y Lola consiguieron un ordenador en al restaurante, Lola decidió dárselo a",404,1,3,4,5,6,7,17,18,24,25, Lola, Juan, Lola, Lola, Juan, Juan,ablation, su,0.4453,0.1357,0.0007
"Cuando Paula y Laura consiguieron un hueso en a la oficina, Laura decidió dar el objeto a",490,1,3,4,5,6,7,18,19,25,26, Laura, Paula, Laura, Laura, Paula, Paula,ablation, Paula,0.2432,0.2432,0.0025
"Después del almuerzo, Bruno y Gloria fueron a la oficina. Gloria le dio un refresco a",686,1,8,9,10,11,12,17,18,23,24, Gloria, Bruno, Gloria, Gloria, Bruno, Bruno,ablation, Bruno,0.8359,0.8359,0.0003
"Cuando Carlos y Paula consiguieron un collar en a la tienda, Paula decidió dar el objeto a",453,1,3,4,5,6,7,17,18,24,25, Paula, Carlos, Paula, Paula, Carlos, Carlos,ablation, su,0.4023,0.2754,0.0014
"Después de que José y Sergio fueran al jardín, Sergio le dio un collar a",333,1,5,6,7,8,9,15,16,20,21, Sergio, José, Sergio, Sergio, José, José,ablation, José,0.3672,0.3672,0.0003
"Entonces, José y Gabriel tuvieron una larga discusión. Después Gabriel le dijo a",781,1,4,5,6,7,8,18,19,21,22, Gabriel, José, Gabriel, Gabriel, José, José,ablation, José,0.9414,0.9414,0.0016
a la estación al que fueron Rafael y Ana tenía un balón. Ana se lo dio a,891,1,8,9,10,11,12,16,17,20,21, Ana, Rafael, Ana, Ana, Rafael, Rafael,ablation, Rafael,0.2617,0.2617,0.0045
"Entonces, Megan y Eric estaban pensando en ir a la estación. Eric quería darle un bocadillo a",255,1,4,5,6,7,8,18,19,28,29, Eric, Megan, Eric, Eric, Megan, Megan,ablation, Megan,0.7539,0.7539,0.0004
"Entonces, Jaime y Kevin fueron al hospital. Kevin le dio un refresco a",38,1,4,5,6,7,8,11,12,17,18, Kevin, Jaime, Kevin, Kevin, Jaime, Jaime,ablation, Jaime,0.5703,0.5703,0.0013
"Entonces, Andrea y Jeffrey tuvieron una larga discusión, y después Jeffrey le dijo a",284,1,4,5,6,7,8,19,20,22,23, Jeffrey, Andrea, Jeffrey, Jeffrey, Andrea, Andrea,ablation, Andrea,0.5664,0.5664,0.0012
"Entonces, Oscar y Lola tuvieron una larga discusión. Después Lola le dijo a",804,1,4,5,6,7,8,18,19,21,22, Lola, Oscar, Lola, Lola, Oscar, Oscar,ablation, Oscar,0.6562,0.6562,0.0005
"Cuando Jorge y Gloria consiguieron un balón en al hospital, Gloria decidió dárselo a",419,1,3,4,5,6,7,16,17,23,24, Gloria, Jorge, Gloria, Gloria, Jorge, Jorge,circuit, Jorge,0.293,0.293,0.0002
"Entonces, Carmen y María tuvieron una larga discusión, y después María le dijo a",258,1,4,5,6,7,8,19,20,22,23, María, Carmen, María, María, Carmen, Carmen,ablation, Carmen,0.5,0.5,0.0059
Los amigos Rafael y Sergio encontraron un refresco en a la oficina. Sergio se lo dio a,942,1,3,4,5,6,7,17,18,21,22, Sergio, Rafael, Sergio, Sergio, Rafael, Rafael,ablation, Rafael,0.4512,0.4512,0.0007
"Entonces, Alejandro y Eric fueron a la escuela. Eric le dio un refresco a",30,1,4,5,6,7,8,13,14,19,20, Eric, Alejandro, Eric, Eric, Alejandro, Alejandro,ablation, Alejandro,0.5703,0.5703,0.0003
"Mientras Travis y Sergio trabajaban en a la oficina, Sergio le dio un ordenador a",556,1,3,4,5,6,7,14,15,20,21, Sergio, Travis, Sergio, Sergio, Travis, Travis,ablation, Travis,0.8594,0.8594,0.0009
"Cuando Clara y Victor consiguieron un balón en al hospital, Victor decidió dar el objeto a",483,1,3,4,5,6,7,16,17,23,24, Victor, Clara, Victor, Victor, Clara, Clara,ablation, Clara,0.3418,0.3418,0.0014
a la casa al que fueron Bruno y María tenía un bocadillo. María se lo dio a,887,1,7,8,9,10,11,17,18,21,22, María, Bruno, María, María, Bruno, Bruno,ablation, su,0.3379,0.3379,0.0023
"Cuando Rafael y Ana consiguieron un refresco en al jardín, Ana decidió dar el objeto a",462,1,3,4,5,6,7,18,19,25,26, Ana, Rafael, Ana, Ana, Rafael, Rafael,ablation, su,0.209,0.105,0.0034
"Después de que Roberto y Antonio fueran a la escuela, Antonio le dio un bocadillo a",351,1,5,6,7,8,9,15,16,23,24, Antonio, Roberto, Antonio, Antonio, Roberto, Roberto,ablation, Roberto,0.7891,0.7891,0.0007
Los amigos Alejandro y Oscar encontraron un balón en a la estación. Oscar se lo dio a,955,1,3,4,5,6,7,17,18,21,22, Oscar, Alejandro, Oscar, Oscar, Alejandro, Alejandro,ablation, Alejandro,0.8828,0.8828,0.0001
"Mientras Cody y Rafael trabajaban en al hospital, Rafael le dio un refresco a",550,1,3,4,5,6,7,12,13,18,19, Rafael, Cody, Rafael, Rafael, Cody, Cody,circuit, Cody,0.4062,0.4062,0.0002
a la estación al que fueron Juan y Kenneth tenía un refresco. Kenneth se lo dio a,894,1,8,9,10,11,12,16,17,20,21, Kenneth, Juan, Kenneth, Kenneth, Juan, Juan,ablation, Juan,0.4492,0.4492,0.0001
"Entonces, Alejandro y Dustin se divirtieron mucho en a la tienda. Dustin le dio un ordenador a",68,1,4,5,6,7,8,18,19,24,25, Dustin, Alejandro, Dustin, Dustin, Alejandro, Alejandro,ablation, Alejandro,0.6914,0.6914,0.0001
"Entonces, Gabriel y Rosa tuvieron una larga discusión. Después Rosa le dijo a",820,1,4,5,6,7,8,18,19,21,22, Rosa, Gabriel, Rosa, Rosa, Gabriel, Gabriel,ablation, Gabriel,0.7227,0.7227,0.0007
"Cuando Alejandro y Jeffrey consiguieron un hueso en al restaurante, Jeffrey decidió dar el objeto a",466,1,3,4,5,6,7,17,18,24,25, Jeffrey, Alejandro, Jeffrey, Jeffrey, Alejandro, Alejandro,ablation, su,0.3457,0.0469,0.0004
"Después del almuerzo, Paula y Alan fueron a la casa. Alan le dio un balón a",691,1,8,9,10,11,12,16,17,22,23, Alan, Paula, Alan, Alan, Paula, Paula,ablation, Paula,0.5977,0.5977,0.0005
"Entonces, Jaime y José tuvieron una larga discusión. Después José le dijo a",828,1,4,5,6,7,8,18,19,21,22, José, Jaime, José, José, Jaime, Jaime,ablation, Jaime,0.5781,0.5781,0.0042
"Entonces, Rosa y Alan estaban pensando en ir a la tienda. Alan quería darle un balón a",195,1,4,5,6,7,8,18,19,26,27, Alan, Rosa, Alan, Alan, Rosa, Rosa,circuit, su,0.4609,0.4316,0.0001
"Cuando María y Martin consiguieron un collar en a la oficina, Martin decidió dar el objeto a",493,1,3,4,5,6,7,17,18,24,25, Martin, María, Martin, Martin, María, María,ablation, su,0.4824,0.2285,0.001
"Después del almuerzo, Alison y Andrea fueron al jardín. Andrea le dio un bocadillo a",655,1,8,9,10,11,12,17,18,25,26, Andrea, Alison, Andrea, Andrea, Alison, Alison,ablation, su,0.252,0.03,0.0005
"Entonces, Carmen y Ana estaban pensando en ir a la oficina. Ana quería darle un anillo a",232,1,4,5,6,7,8,18,19,26,27, Ana, Carmen, Ana, Ana, Carmen, Carmen,ablation, su,0.4453,0.1641,0.0034
"Mientras Sergio y Ana iban a la casa, Ana le dio un balón a",627,1,3,4,5,6,7,12,13,18,19, Ana, Sergio, Ana, Ana, Sergio, Sergio,ablation, Sergio,0.7891,0.7891,0.0009
Los amigos Diana y Sergio encontraron un refresco en al restaurante. Sergio se lo dio a,918,1,3,4,5,6,7,16,17,20,21, Sergio, Diana, Sergio, Sergio, Diana, Diana,ablation, Diana,0.8242,0.8242,0.0003
Los amigos Bradley y Dustin encontraron un ordenador en al jardín. Dustin se lo dio a,908,1,3,4,5,6,7,17,18,21,22, Dustin, Bradley, Dustin, Dustin, Bradley, Bradley,circuit, Bradley,0.4219,0.4219,0.0002
"Después del almuerzo, Kelly y Rosa fueron a la tienda. Rosa le dio un collar a",645,1,8,9,10,11,12,17,18,22,23, Rosa, Kelly, Rosa, Rosa, Kelly, Kelly,ablation, Kelly,0.5938,0.5938,0.001
"Entonces, José y Martin tuvieron una larga discusión, y después Martin le dijo a",317,1,4,5,6,7,8,19,20,22,23, Martin, José, Martin, Martin, José, José,ablation, José,0.7539,0.7539,0.0004
"Entonces, Martin y Lola tuvieron una larga discusión, y después Lola le dijo a",273,1,4,5,6,7,8,19,20,22,23, Lola, Martin, Lola, Lola, Martin, Martin,ablation, Martin,0.5977,0.5977,0.0004
"Más tarde, Carmen y Jeffrey fueron a la tienda. Jeffrey le dio un ordenador a",708,1,5,6,7,8,9,14,15,20,21, Jeffrey, Carmen, Jeffrey, Jeffrey, Carmen, Carmen,ablation, su,0.3965,0.3965,0.0099
"Mientras Kristen y Carmen trabajaban en a la oficina, Carmen le dio un collar a",557,1,3,4,5,6,7,14,15,19,20, Carmen, Kristen, Carmen, Carmen, Kristen, Kristen,ablation, Kristen,0.8359,0.8359,0.0001
"Entonces, Kelly y Lola tuvieron una larga discusión, y después Lola le dijo a",298,1,4,5,6,7,8,19,20,22,23, Lola, Kelly, Lola, Lola, Kelly, Kelly,circuit, Kelly,0.6289,0.6289,0.0002
"Entonces, Cody y Rosa estaban pensando en ir a la tienda. Rosa quería darle un anillo a",192,1,4,5,6,7,8,18,19,26,27, Rosa, Cody, Rosa, Rosa, Cody, Cody,eval, Cody,0.6367,0.6367,0.0001
"Después de que Jaime y Rafael fueran al restaurante, Rafael le dio un refresco a",342,1,5,6,7,8,9,14,15,20,21, Rafael, Jaime, Rafael, Rafael, Jaime, Jaime,ablation, Jaime,0.668,0.668,0.0016
al restaurante al que fueron Kevin y Antonio tenía un ordenador. Antonio se lo dio a,852,1,7,8,9,10,11,15,16,19,20, Antonio, Kevin, Antonio, Antonio, Kevin, Kevin,eval, Kevin,0.6445,0.6445,0.0003
"Entonces, Travis y Kelly estaban pensando en ir a la casa. Kelly quería darle un anillo a",240,1,4,5,6,7,8,17,18,25,26, Kelly, Travis, Kelly, Kelly, Travis, Travis,ablation, Travis,0.582,0.582,0.0012
"Después del almuerzo, Kenneth y María fueron a la estación. María le dio un collar a",701,1,8,9,10,11,12,17,18,22,23, María, Kenneth, María, María, Kenneth, Kenneth,ablation, Kenneth,0.6836,0.6836,0.0016
