prompt,prompt_id,prefix,IO,connector,S1,action1,S2,action2,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
店でさくらと愛が本棚を見ていた。愛は面白そうな骨を選び、,578,1,3,6,7,8,14,15,22,愛,さ,愛,愛,さ,さ,eval,さ,0.4668,0.4668,0.002
達也と亮は学校の図書館にいた。亮は借りていたスナックを読み終え、,967,1,1,3,4,5,15,16,27,亮,達,亮,亮,達,達,eval,達,0.4648,0.4648,0.0001
達也と陽菜が病院で席に着いた。陽菜は熱いネックレスを持ってきて、,397,1,1,3,4,6,15,17,26,陽,達,陽,陽,達,達,ablation,達,0.2383,0.2383,0.0077
拓也と陽菜は山の図書館にいた。陽菜は借りていたキスを読み終え、,1001,1,1,3,4,6,16,18,28,陽,拓,陽,陽,拓,拓,ablation,拓,0.1592,0.1592,0.0033
オフィスで涼太と和也が話していた。和也はネックレスを取り出すと、,45,1,5,7,8,10,14,16,24,和,涼,和,和,涼,涼,ablation,涼,0.1787,0.1787,0.0078
美優と健太は庭の図書館にいた。健太は借りていたコンピューターを読み終え、,948,1,1,3,4,6,16,18,30,健,美,健,健,美,美,ablation,美,0.5977,0.5977,0.0006
剛と一輝が家で席に着いた。一輝は熱い飲み物を持ってきて、,414,1,1,2,3,5,13,15,23,一,剛,一,一,剛,剛,ablation,二人,0.0654,0.0177,0.0422
山で優菜と翼が話していた。翼はスナックを取り出すと、,71,1,3,5,6,7,11,12,20,翼,優,翼,翼,優,優,ablation,優,0.1729,0.1729,0.0015
学校の隅で愛と陽菜が二人きりだった。陽菜は衝撃的な指輪を知り、こっそりと,528,1,5,6,7,9,15,17,33,陽,愛,陽,陽,愛,愛,eval,愛,0.0918,0.0918,0.015
山で直樹と陽菜が買い物をしていた。陽菜は素敵なバスケットボールを購入し、,283,1,3,5,6,8,13,15,25,陽,直,陽,陽,直,直,circuit,直,0.4551,0.4551,0.0014
オフィスで翼と葵が帰り支度をしていた。葵は車の骨を見つけ、,906,1,5,6,7,8,15,16,22,葵,翼,葵,葵,翼,翼,ablation,翼,0.4375,0.4375,0.0036
葵と健太が庭で席に着いた。健太は熱い飲み物を持ってきて、,374,1,1,2,3,5,13,15,23,健,葵,健,健,葵,葵,ablation,葵,0.5859,0.5859,0.0014
オフィスで亮と健太が買い物をしていた。健太は素敵な飲み物を購入し、,262,1,5,6,7,9,14,16,25,健,亮,健,健,亮,亮,ablation,亮,0.4277,0.4277,0.0015
オフィスで拓也と健太が話していた。健太は骨を取り出すと、,42,1,5,7,8,10,14,16,22,健,拓,健,健,拓,拓,eval,拓,0.0728,0.0728,0.0044
店で健太と翔太が乾杯しようとしていた。翔太は冷えたキスを開け、,1009,1,3,5,6,8,15,17,25,翔,健,翔,翔,健,健,ablation,健,0.2676,0.2676,0.0005
愛と拓也は庭にいた。拓也は落ちていた骨を拾い、,82,1,1,2,3,5,10,12,20,拓,愛,拓,拓,愛,愛,eval,愛,0.5938,0.5938,0.0013
家で結衣と大輔が帰り支度をしていた。大輔は車のスナックを見つけ、,919,1,3,5,6,8,15,17,25,大,結,大,大,結,結,ablation,結,0.207,0.207,0.0493
病院で彩と陽菜が乾杯しようとしていた。陽菜は冷えた飲み物を開け、,1046,1,4,5,6,8,15,17,25,陽,彩,陽,陽,彩,彩,ablation,彩,0.3477,0.3477,0.0027
駅で剛と達也が歩いていたとき、達也は珍しい骨を見つけ、すぐに,202,1,4,5,6,8,13,15,22,達,剛,達,達,剛,剛,ablation,�,0.0869,0.0126,0.0081
陸と一輝が家で席に着いた。一輝は熱いネックレスを持ってきて、,413,1,1,2,3,5,13,15,24,一,陸,一,一,陸,陸,circuit,陸,0.166,0.166,0.0271
未来と美咲は店で休憩していた。美咲は携帯の画面にある指輪を表示し、,792,1,1,2,3,6,13,16,29,美,未来,美,美,未来,未来,ablation,未来,0.2969,0.2969,0.0178
さくらと愛は学校で修理をしていた。愛は近くにあったスナックを掴み、,679,1,1,4,5,6,13,14,25,愛,さ,愛,愛,さ,さ,circuit,さ,0.4746,0.4746,0.0072
学校で直樹と翼が本棚を見ていた。翼は面白そうな指輪を選び、,600,1,3,5,6,7,13,14,22,翼,直,翼,翼,直,直,ablation,直,0.459,0.459,0.0009
葵と哲也がレストランで席に着いた。哲也は熱いコンピューターを持ってきて、,380,1,1,2,3,5,13,15,25,哲,葵,哲,哲,葵,葵,ablation,葵,0.1147,0.1147,0.0006
さくらと亮は店で修理をしていた。亮は近くにあった飲み物を掴み、,654,1,1,4,5,6,13,14,24,亮,さ,亮,亮,さ,さ,eval,さ,0.5391,0.5391,0.0005
優花と結衣はレストランで休憩していた。結衣は携帯の画面にあるコンピューターを表示し、,812,1,1,3,4,6,13,15,30,結,優,結,結,優,優,ablation,優,0.3828,0.3828,0.0131
家の隅で愛と健太が二人きりだった。健太は衝撃的な骨を知り、こっそりと,554,1,4,5,6,8,14,16,31,健,愛,健,健,愛,愛,eval,愛,0.1885,0.1885,0.0271
庭で哲也と陽菜が話していた。陽菜は骨を取り出すと、,10,1,3,5,6,8,12,14,20,陽,哲,陽,陽,哲,哲,ablation,庭,0.3047,0.0172,0.0044
一輝と哲也は学校で休憩していた。哲也は携帯の画面にあるスナックを表示し、,823,1,1,3,4,6,13,15,29,哲,一,哲,哲,一,一,ablation,一,0.457,0.457,0.0016
さくらと亮は山にいた。亮は落ちていたコンピューターを拾い、,140,1,1,4,5,6,11,12,23,亮,さ,亮,亮,さ,さ,circuit,さ,0.6641,0.6641,0.0009
美優と翔太は店で修理をしていた。翔太は近くにあったバスケットボールを掴み、,651,1,1,3,4,6,13,15,26,翔,美,翔,翔,美,美,eval,美,0.582,0.582,0.0176
庭で結衣と大輔が帰り支度をしていた。大輔は車の骨を見つけ、,874,1,3,5,6,8,15,17,23,大,結,大,大,結,結,circuit,庭,0.248,0.1328,0.043
亮と翔太は家にいた。翔太は落ちていた指輪を拾い、,120,1,1,2,3,5,10,12,21,翔,亮,翔,翔,亮,亮,eval,亮,0.3945,0.3945,0.005
庭で和也と大輔が準備をしていた。大輔は余分なネックレスを持っていたので、,733,1,3,5,6,8,13,15,26,大,和,大,大,和,和,ablation,和,0.2021,0.2021,0.0425
山で亮と陽菜が乾杯しようとしていた。陽菜は冷えたキスを開け、,1073,1,3,4,5,7,14,16,24,陽,亮,陽,陽,亮,亮,ablation,山,0.2158,0.0513,0.0026
学校で愛と健太が練習していた。健太はコンピューターをキャッチすると、力強く,316,1,3,4,5,7,12,14,26,健,愛,健,健,愛,愛,ablation,、,0.0659,0.0031,0.0017
山で愛と翔太が練習していた。翔太はキスをキャッチすると、力強く,353,1,3,4,5,7,12,14,24,翔,愛,翔,翔,愛,愛,ablation,抱,0.0674,0.032,0.0081
愛と翔太は山にいた。翔太は落ちていたバスケットボールを拾い、,139,1,1,2,3,5,10,12,22,翔,愛,翔,翔,愛,愛,ablation,愛,0.6523,0.6523,0.0056
病院で優菜と和也が練習していた。和也はキスをキャッチすると、力強く,321,1,4,6,7,9,14,16,26,和,優,和,和,優,優,eval,キ,0.0537,0.0325,0.003
店で葵と美優が帰り支度をしていた。美優は車の骨を見つけ、,866,1,3,4,5,7,14,16,22,美,葵,美,美,葵,葵,ablation,葵,0.1768,0.1768,0.0137
駅で愛と大輔が買い物をしていた。大輔は素敵なキスを購入し、,273,1,4,5,6,8,13,15,24,大,愛,大,大,愛,愛,ablation,愛,0.3867,0.3867,0.0811
愛と結衣は山で修理をしていた。結衣は近くにあった指輪を掴み、,712,1,1,2,3,5,12,14,24,結,愛,結,結,愛,愛,ablation,愛,0.5938,0.5938,0.0045
和也と葵は学校にいた。葵は落ちていたバスケットボールを拾い、,99,1,1,3,4,5,10,11,21,葵,和,葵,葵,和,和,ablation,和,0.3574,0.3574,0.0011
楓と七海はレストランにいた。七海は落ちていたスナックを拾い、,95,1,1,3,4,6,11,13,23,七,�,七,七,�,�,ablation,�,0.4668,0.0,0.002
駅で葵と結衣が買い物をしていた。結衣は素敵なバスケットボールを購入し、,275,1,4,5,6,8,13,15,25,結,葵,結,結,葵,葵,ablation,葵,0.7188,0.7188,0.0058
庭の隅で和也と葵が二人きりだった。葵は衝撃的なコンピューターを知り、こっそりと,516,1,5,7,8,9,15,16,34,葵,和,葵,葵,和,和,ablation,和,0.2266,0.2266,0.0025
レストランで亮と大輔が歩いていたとき、大輔は珍しい骨を見つけ、すぐに,162,1,3,4,5,7,12,14,21,大,亮,大,大,亮,亮,ablation,亮,0.6055,0.6055,0.0161
病院で優花と哲也が乾杯しようとしていた。哲也は冷えた骨を開け、,1042,1,4,6,7,9,16,18,25,哲,優,哲,哲,優,優,circuit,優,0.0869,0.0869,0.0014
庭で愛と翔太が本棚を見ていた。翔太は面白そうなネックレスを選び、,589,1,3,4,5,7,13,15,24,翔,愛,翔,翔,愛,愛,ablation,庭,0.377,0.0121,0.0014
一輝と亮はレストランで修理をしていた。亮は近くにあった骨を掴み、,666,1,1,3,4,5,12,13,22,亮,一,亮,亮,一,一,ablation,一,0.3184,0.3184,0.0006
店でさくらと愛が話していた。愛はバスケットボールを取り出すと、,3,1,3,6,7,8,12,13,21,愛,さ,愛,愛,さ,さ,ablation,さ,0.1719,0.1719,0.0036
学校で誠と翔太が乾杯しようとしていた。翔太は冷えた指輪を開け、,1032,1,3,4,5,7,14,16,24,翔,誠,翔,翔,誠,誠,ablation,誠,0.1973,0.1973,0.0004
涼太と結衣は山の図書館にいた。結衣は借りていたコンピューターを読み終え、,1004,1,1,3,4,6,16,18,30,結,涼,結,結,涼,涼,ablation,涼,0.6445,0.6445,0.0046
大輔と翔太が家で席に着いた。翔太は熱い飲み物を持ってきて、,414,1,1,3,4,6,14,16,24,翔,大,翔,翔,大,大,ablation,大,0.5,0.5,0.0028
家の隅で亮と健太が二人きりだった。健太は衝撃的なスナックを知り、こっそりと,559,1,4,5,6,8,14,16,33,健,亮,健,健,亮,亮,ablation,亮,0.249,0.249,0.0016
家で哲也と拓也が買い物をしていた。拓也は素敵なスナックを購入し、,271,1,3,5,6,8,13,15,25,拓,哲,拓,拓,哲,哲,ablation,家,0.3242,0.0928,0.0009
レストランで一輝と亮が乾杯しようとしていた。亮は冷えたキスを開け、,1025,1,3,5,6,7,14,15,23,亮,一,亮,亮,一,一,circuit,一,0.2324,0.2324,0.0001
葵と健太は店で修理をしていた。健太は近くにあったバスケットボールを掴み、,651,1,1,2,3,5,12,14,25,健,葵,健,健,葵,葵,ablation,葵,0.2227,0.2227,0.0017
駅で葵と一輝が仕事をしていた。一輝は新しい指輪を作成し、その内容を,488,1,4,5,6,8,12,14,25,一,葵,一,一,葵,葵,ablation,葵,0.1748,0.1748,0.0535
楓と和也は店にいた。和也は落ちていたスナックを拾い、,79,1,1,3,4,6,11,13,23,和,�,和,和,�,�,ablation,�,0.4199,0.0,0.0093
哲也と拓也はオフィスの図書館にいた。拓也は借りていた骨を読み終え、,978,1,1,3,4,6,18,20,29,拓,哲,拓,拓,哲,哲,ablation,哲,0.5352,0.5352,0.0002
