prompt,prompt_id,prefix,IO,connector,S1,action1,S2,action2,to,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
놀이터에서 철수와 다은가 놀고 있었습니다. 다은가 예쁜 지갑을 발견하고는,676,1,5,8,9,11,19,21,29,30, 다, �, 다, 다, �, �,ablation, 지,0.0801,0.0,0.0378
도서관에 영호와 서현가 방문했습니다. 서현는 기념품으로 산 편지를 조심스럽게,924,1,5,7,8,10,14,16,31,32, 서, 영, 서, 서, 영, 영,ablation, 보,0.0854,0.007,0.0023
식당에서 철수와 서윤가 놀고 있었습니다. 서윤가 예쁜 선물을 발견하고는,642,1,4,7,8,10,18,20,27,28, 서, �, 서, 서, �, �,ablation, �,0.0623,0.0623,0.0123
영화관에 영희와 서연가 방문했습니다. 서연는 기념품으로 산 공을 조심스럽게,961,1,5,7,8,10,14,16,29,30, 서, 영, 서, 서, 영, 영,circuit, 들,0.1934,0.001,0.0004
학교에 지우와 주원가 앉아있었습니다. 주원는 자신이 아끼는 선물을 챙겨서,502,1,3,5,6,8,15,17,29,30, 주, 지, 주, 주, 지, 지,ablation, 지,0.293,0.293,0.084
"어느 화창한 날, 해변에서 서현과 지호가 산책을 했습니다. 지호가 바닥에서 선물을 주워서",392,1,13,15,16,18,27,29,37,38, 지, 서, 지, 지, 서, 서,eval, 보,0.3164,0.1494,0.0293
영화관에서 하준과 예준가 쇼핑을 했습니다. 예준가 새로 산 장난감을 포장해서,468,1,5,7,8,10,20,22,32,33, 예, 하, 예, 예, 하, 하,ablation, 하,0.2217,0.2217,0.0028
조용한 식당에서 서연과 주원가 식사를 마쳤습니다. 주원가 가방에서 지갑을 꺼내더니,746,1,8,10,11,13,21,23,35,36, 주, 서, 주, 주, 서, 서,ablation, 지,0.1436,0.0283,0.0364
"어느 화창한 날, 도서관에서 다은과 지호가 산책을 했습니다. 지호가 바닥에서 열쇠를 주워서",329,1,14,16,17,19,28,30,39,40, 지, 다, 지, 지, 다, 다,ablation, 다,0.1953,0.1953,0.0339
조용한 백화점에서 지호와 도윤가 식사를 마쳤습니다. 도윤가 가방에서 우산을 꺼내더니,787,1,9,11,12,14,22,24,36,37, 도, 지, 도, 도, 지, 지,circuit, 우,0.1084,0.0845,0.0188
학교에서 가은과 지우가 이야기를 나누고 있었습니다. 지우가 사과를 꺼내어,5,1,3,5,6,8,17,19,27,28, 지, 가, 지, 지, 가, 가,ablation, 가,0.2393,0.2393,0.0008
카페에서 예준과 지훈가 쇼핑을 했습니다. 지훈가 새로 산 연필을 포장해서,433,1,4,6,7,9,19,21,30,31, 지, 예, 지, 지, 예, 예,ablation, 주,0.1641,0.0325,0.0144
해변에서 수진과 하은가 공부를 하고 있었습니다. 갑자기 하은가 선물을 집어 들고는,292,1,4,6,7,9,21,23,30,31, 하, 수, 하, 하, 수, 수,ablation," """,0.0801,0.0625,0.0139
"어느 화창한 날, 공원에서 은지와 지민가 산책을 했습니다. 지민가 바닥에서 우산을 주워서",317,1,13,16,17,19,28,30,39,40, 지, �, 지, 지, �, �,ablation, 지,0.1045,0.0,0.1045
공원에 서연과 도윤가 방문했습니다. 도윤는 기념품으로 산 연필을 조심스럽게,913,1,4,6,7,9,13,15,29,30, 도, 서, 도, 도, 서, 서,ablation, 들,0.2334,0.0004,0.0003
학교에 다은과 민서가 앉아있었습니다. 민서는 자신이 아끼는 책을 챙겨서,500,1,3,5,6,9,16,19,31,32, �, 다, �, �, 다, 다,ablation, �,0.168,0.0275,0.168
백화점에 예준과 도윤가 방문했습니다. 도윤는 기념품으로 산 연필을 조심스럽게,983,1,5,7,8,10,14,16,30,31, 도, 예, 도, 도, 예, 예,ablation, 들,0.1836,0.0006,0.0005
백화점에서 민서와 도윤가 공부를 하고 있었습니다. 갑자기 도윤가 연필을 집어 들고는,283,1,5,8,9,11,23,25,33,34, 도, �, 도, 도, �, �,ablation," """,0.1387,0.0,0.0042
해변에서 서현과 지호가 이야기를 나누고 있었습니다. 지호가 사과를 꺼내어,95,1,4,6,7,9,18,20,28,29, 지, 서, 지, 지, 서, 서,eval, 서,0.2969,0.2969,0.0024
도서관에 서연과 하준가 앉아있었습니다. 하준는 자신이 아끼는 지갑을 챙겨서,526,1,5,7,8,10,17,19,32,33, 하, 서, 하, 하, 서, 서,ablation, �,0.0518,0.0356,0.0031
식당에 재민과 하은가 앉아있었습니다. 하은는 자신이 아끼는 책을 챙겨서,540,1,4,6,7,9,16,18,30,31, 하, 재, 하, 하, 재, 재,ablation, �,0.085,0.0122,0.0008
조용한 학교에서 상철과 서윤가 식사를 마쳤습니다. 서윤가 가방에서 사과를 꺼내더니,705,1,8,10,11,13,21,23,35,36, 서, 상, 서, 서, 상, 상,ablation,",",0.0762,0.0718,0.0097
해변에 하은과 예준가 함께 도착했습니다. 예준는 미리 준비한 공을 내밀며,191,1,4,6,7,9,15,17,26,27, 예, 하, 예, 예, 하, 하,eval," """,0.1245,0.0806,0.0217
"어느 화창한 날, 카페에서 수진과 지우가 산책을 했습니다. 지우가 바닥에서 연필을 주워서",333,1,14,16,17,19,28,30,39,40, 지, 수, 지, 지, 수, 수,ablation, 수,0.168,0.168,0.0425
학교에 다은과 도윤가 함께 도착했습니다. 도윤는 미리 준비한 선물을 내밀며,102,1,3,5,6,8,14,16,25,26, 도, 다, 도, 도, 다, 다,ablation," """,0.1094,0.0042,0.0518
놀이터에서 다은과 지우가 쇼핑을 했습니다. 지우가 새로 산 책을 포장해서,470,1,5,7,8,10,20,22,30,31, 지, 다, 지, 지, 다, 다,ablation, 보내,0.0981,0.0086,0.0081
병원에 철수와 도윤가 앉아있었습니다. 도윤는 자신이 아끼는 책을 챙겨서,550,1,3,6,7,9,16,18,30,31, 도, �, 도, 도, �, �,ablation, �,0.0684,0.0684,0.0072
조용한 해변에서 영희와 지안가 식사를 마쳤습니다. 지안가 가방에서 공을 꺼내더니,791,1,7,9,10,12,20,22,33,34, 지, 영, 지, 지, 영, 영,ablation,",",0.05,0.0344,0.0303
"어느 화창한 날, 공원에서 지민과 서현가 산책을 했습니다. 서현가 바닥에서 책을 주워서",310,1,13,15,16,18,27,29,37,38, 서, 지, 서, 서, 지, 지,ablation, 지,0.1709,0.1709,0.0033
"어느 화창한 날, 백화점에서 철수와 시우가 산책을 했습니다. 시우가 바닥에서 우산을 주워서",387,1,15,18,19,21,30,32,41,42, 시, �, 시, 시, �, �,ablation, �,0.0796,0.0796,0.007
해변에 다은과 지안가 방문했습니다. 지안는 기념품으로 산 열쇠를 조심스럽게,999,1,4,6,7,9,13,15,29,30, 지, 다, 지, 지, 다, 다,circuit, 들,0.1289,0.0144,0.0645
해변에서 은지와 지우가 공부를 하고 있었습니다. 갑자기 지우가 공을 집어 들고는,291,1,4,7,8,10,22,24,31,32, 지, �, 지, 지, �, �,ablation, 해,0.2305,0.0,0.0033
해변에 은지와 서윤가 앉아있었습니다. 서윤는 자신이 아끼는 선물을 챙겨서,592,1,4,7,8,10,17,19,31,32, 서, �, 서, 서, �, �,ablation, �,0.0618,0.0618,0.0009
